🐉湾湾频道「线路1」,#genre#
东森财经新闻,http://154.12.50.54:123/smt.php?id=ettvcaijing_twn
TVBS新闻台,http://154.12.50.54:123/smt.php?id=tvbs_n
中天新闻,http://154.12.50.54:123/smt.php?id=ctinews
中视新闻,http://154.12.50.54:123/smt.php?id=ca73a13c37
台视新闻,http://154.12.50.54:123/smt.php?id=ttvnews_twn
年代新闻,http://154.12.50.54:123/smt.php?id=niandainews_twn
民视新闻台,http://154.12.50.54:123/smt.php?id=ftvnew_taiwan
寰宇新闻台,http://154.12.50.54:123/smt.php?id=huanyuxinwen_twn
非凡新闻,http://154.12.50.54:123/smt.php?id=feifannews_twn
美亚电影台,http://154.12.50.54:123/smt.php?id=meiyamovie_twn
华纳TV,http://154.12.50.54:123/smt.php?id=WarnerTV
纬来电影,http://154.12.50.54:123/smt.php?id=videolandmovie
天映频道,http://154.12.50.54:123/smt.php?id=Celestial
龙祥时代,http://154.12.50.54:123/smt.php?id=lungxiangtime_twn
龙祥时代,http://154.12.50.54:123/smt.php?id=cb7a1fec69
龙华洋片,http://154.12.50.54:123/smt.php?id=lunghuawestern_twn
龙华戏剧,http://154.12.50.54:123/smt.php?id=lunghuaxiju_twn
龙华偶像,http://154.12.50.54:123/smt.php?id=lunghuaidol_twn
龙华电影,http://154.12.50.54:123/smt.php?id=xingwei_movie
龙华电影,http://154.12.50.54:123/smt.php?id=xingwei_movie
靖天卡通,http://154.12.50.54:123/smt.php?id=jingtiancartoon_twn
靖天国际台,http://154.12.50.54:123/smt.php?id=jingtianintl_twn
好莱坞电影台,http://154.12.50.54:123/smt.php?id=hollywoodmovies_twn
東森戏剧,http://154.12.50.54:123/smt.php?id=ettvdrama
東森电影台,http://154.12.50.54:123/smt.php?id=ettvmovie
东森洋片,http://154.12.50.54:123/smt.php?id=ettvwestern
AXN,http://154.12.50.54:123/smt.php?id=axn_twn
DMAX,http://154.12.50.54:123/smt.php?id=natgeohd_twn
CINEMAX,http://154.12.50.54:123/smt.php?id=cinemax_twn
HBO家庭,http://154.12.50.54:123/smt.php?id=fyi_twn
HBOHD,http://154.12.50.54:123/smt.php?id=hbohd_twn
HBO,http://154.12.50.54:123/smt.php?id=huanyutaiwan_twn
HBO,http://154.12.50.54:123/smt.php?id=hbosignature_twn
HBO,http://154.12.50.54:123/smt.php?id=hbohead_twn
HBO,http://154.12.50.54:123/smt.php?id=Hbo
大爱,http://154.12.50.54:123/smt.php?id=daai_twn
大爱TV,http://154.12.50.54:123/smt.php?id=DaaiTV
好消息2,http://154.12.50.54:123/smt.php?id=good2_twn
博斯运动II,http://154.12.50.54:123/smt.php?id=bosisport2_twn
博斯网球,http://154.12.50.54:123/smt.php?id=bositennis_twn
博斯魅力,http://154.12.50.54:123/smt.php?id=bosisport1_twn
博斯高球II,http://154.12.50.54:123/smt.php?id=bosigolf2_twn
博斯高球I,http://154.12.50.54:123/smt.php?id=bosigolf1_twn
爱奇艺,http://154.12.50.54:123/smt.php?id=Qiyi
WWE,http://154.12.50.54:123/smt.php?id=Wwe
TV1,http://154.12.50.54:123/smt.php?id=TV1
TV2,http://154.12.50.54:123/smt.php?id=TV2
TV8,http://154.12.50.54:123/smt.php?id=TV8
TV9,http://154.12.50.54:123/smt.php?id=TV9
TruePremium,http://154.12.50.54:123/smt.php?id=truepre1_pat
tpbs,http://154.12.50.54:123/smt.php?id=tpbs_pat
Tlc频道,http://154.12.50.54:123/smt.php?id=Tlc
Thairath,http://154.12.50.54:123/smt.php?id=thairath_pat
TawafTV,http://154.12.50.54:123/smt.php?id=TawafTV
Supersports2,http://154.12.50.54:123/smt.php?id=Assp2
SunTV,http://154.12.50.54:123/smt.php?id=Suntv
SunTV,http://154.12.50.54:123/smt.php?id=Suntv
Star VijayIndia,http://154.12.50.54:123/smt.php?id=starvijay_raj
Starmaa,http://154.12.50.54:123/smt.php?id=starmaa_raj
Starmaa,http://154.12.50.54:123/smt.php?id=starmaa_raj
SPOTV2,http://154.12.50.54:123/smt.php?id=go_spotv2
SonyTen1,http://154.12.50.54:123/smt.php?id=ten1_raj
SkysportsGolf,http://154.12.50.54:123/smt.php?id=tiankonggolf
SkysportsGolf,http://154.12.50.54:123/smt.php?id=tiankonggolf
SkysportsFootball,http://154.12.50.54:123/smt.php?id=tiankongfootball
SkysportsFootball,http://154.12.50.54:123/smt.php?id=tiankongfootball
