🦄电信专线「多线路」,#genre#
CCTV15,http://dms.yryyj.site:8188/udp/239.76.245.252:1234
CCTV16,http://dms.yryyj.site:8188/udp/239.76.246.98:1234
CCTV17,http://dms.yryyj.site:8188/udp/239.76.245.238:1234
CCTV16 4K,http://dms.yryyj.site:8188/udp/239.76.254.200:9000
CCTV16 4K,http://dms.yryyj.site:8188/udp/239.76.246.230:1234


北京卫视,http://mail.petzhu.top:7000/rtp/239.254.200.47:8024
东方卫视,http://mail.petzhu.top:7000/rtp/239.254.200.52:8032
天津卫视,http://mail.petzhu.top:7000/rtp/239.254.200.54:1234
湖南卫视,http://mail.petzhu.top:7000/rtp/239.254.200.48:8012
浙江卫视,http://mail.petzhu.top:7000/rtp/239.254.200.53:8036
江苏卫视,http://mail.petzhu.top:7000/rtp/239.254.200.51:8028
安徽卫视,http://mail.petzhu.top:7000/rtp/239.254.200.163:6000
东南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.13:6291
辽宁卫视,http://mail.petzhu.top:7000/rtp/239.254.200.57:8056
山东卫视,http://mail.petzhu.top:7000/rtp/239.254.200.55:8052
云南卫视,http://mail.petzhu.top:7000/rtp/239.254.200.68:8108
河南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.16:7174
黑龙江卫视,http://mail.petzhu.top:7000/rtp/239.254.200.49:8016
四川卫视,http://mail.petzhu.top:7000/rtp/239.254.200.202:6325
江西卫视,http://mail.petzhu.top:7000/rtp/239.254.201.12:6290
贵州卫视,http://mail.petzhu.top:7000/rtp/239.254.201.20:6315
深圳卫视,http://mail.petzhu.top:7000/rtp/239.254.200.50:8020
湖北卫视,http://mail.petzhu.top:7000/rtp/239.254.200.164:6000
重庆卫视,http://mail.petzhu.top:7000/rtp/239.254.200.203:6323
山西卫视,http://mail.petzhu.top:7000/rtp/239.254.200.83:8172
广东卫视,http://mail.petzhu.top:7000/rtp/239.254.200.56:8048
广西卫视,http://mail.petzhu.top:7000/rtp/239.254.200.80:8300
吉林卫视,http://mail.petzhu.top:7000/rtp/239.254.201.15:6339
陕西卫视,http://mail.petzhu.top:7000/rtp/239.254.200.82:8140
内蒙古卫视,http://mail.petzhu.top:7000/rtp/239.254.200.84:8176
青海卫视,http://mail.petzhu.top:7000/rtp/239.254.200.85:8184
海南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.125:6288
宁夏卫视,http://mail.petzhu.top:7000/rtp/239.254.200.87:8124
西藏卫视,http://mail.petzhu.top:7000/rtp/239.254.200.88:8164
新疆卫视,http://mail.petzhu.top:7000/rtp/239.254.200.89:8160

湖南卫视,http://alvin.ergotron.net:8000/udp/239.77.1.5:5146
浙江卫视,http://alvin.ergotron.net:8000/udp/239.77.1.33:5146
江苏卫视,http://alvin.ergotron.net:8000/udp/239.77.1.18:5146
东方卫视,http://alvin.ergotron.net:8000/udp/239.77.1.218:5146
安徽卫视,http://alvin.ergotron.net:8000/udp/239.77.1.92:5146
北京卫视,http://alvin.ergotron.net:8000/udp/239.77.1.4:5146
天津卫视,http://alvin.ergotron.net:8000/udp/239.77.1.141:5146
天津卫视,http://alvin.ergotron.net:8000/udp/239.77.0.131:5146
山东卫视,http://alvin.ergotron.net:8000/udp/239.77.1.142:5146
江西卫视,http://alvin.ergotron.net:8000/udp/239.77.1.219:5146
湖北卫视,http://alvin.ergotron.net:8000/udp/239.77.1.93:5146
辽宁卫视,http://alvin.ergotron.net:8000/udp/239.77.1.103:5146
黑龙江卫视,http://alvin.ergotron.net:8000/udp/239.77.1.6:5146
贵州卫视,http://alvin.ergotron.net:8000/udp/239.77.1.221:5146
四川卫视,http://alvin.ergotron.net:8000/udp/239.77.1.215:5146
河南卫视,http://alvin.ergotron.net:8000/udp/239.77.1.229:5146
云南卫视,http://alvin.ergotron.net:8000/udp/239.77.43.37:5146
重庆卫视,http://alvin.ergotron.net:8000/udp/239.77.1.162:5146
河北卫视,http://alvin.ergotron.net:8000/udp/239.77.1.214:5146
东南卫视,http://alvin.ergotron.net:8000/udp/239.77.1.104:5146
广东卫视,http://alvin.ergotron.net:8000/udp/239.77.1.19:5146
深圳卫视,http://alvin.ergotron.net:8000/udp/239.77.1.3:5146
大湾区卫视,http://alvin.ergotron.net:8000/udp/239.77.0.215:5146
广西卫视,http://alvin.ergotron.net:8000/udp/239.77.43.36:5146
吉林卫视,http://alvin.ergotron.net:8000/udp/239.77.1.111:5146
海南卫视,http://alvin.ergotron.net:8000/udp/239.77.43.35:5146
甘肃卫视,http://alvin.ergotron.net:8000/udp/239.77.0.189:5146
吉林卫视,http://alvin.ergotron.net:8000/udp/239.77.1.111:5146
内蒙古卫视,http://alvin.ergotron.net:8000/udp/239.77.1.55:5146
陕西卫视,http://alvin.ergotron.net:8000/udp/239.77.1.54:5146
河北卫视,http://alvin.ergotron.net:8000/udp/239.77.1.214:5146
宁夏卫视,http://alvin.ergotron.net:8000/udp/239.77.1.47:5146

